Site,Abbrev,Sampling_status,N_specimens,Museum_numbers,Period_CE,Period_category,Map_period,County,Region,Lat_WGS84,Lon_WGS84,Coord_source,Coord_flag,Notes
Tindar,,Already permitted,1,Þjms. 12093 (IceEq14),< 1000,settlement,Settlement (870–1100 CE),,,65.565583,-20.116222,DMS→WGS84,,
"Hemla, Vestur Landeyjahrepp",HVL,Already permitted,1,Þjms. 11338a (IceEq10)/Þjms. 12072,< 1000,settlement,Settlement (870–1100 CE),Rangárvallarsýsla,,63.78,-20.305,decimal,,
"Garðsá, Öxnadalshreppi",GAO,Already permitted,1,Þjms. 15223 (IceEq8),< 1000,settlement,Settlement (870–1100 CE),Eyjafjarðarsýsla,,65.6,-18.24,decimal,,
Grímsstaðir við Mývatn,GRM,Already permitted,2,Þms. 213 aukakassi (IceEq9); 1967-213 (3 boxes with bones),< 1000,settlement,Settlement (870–1100 CE),S-Þingeyjarsýsla,Norðurland,65.65,-16.97,decimal,,
Ytra-Hvarf,YHS,Already permitted,1,Þjms. 14224b (IceEq20),< 1000,settlement,Settlement (870–1100 CE),Eyjafjarðarsýsla,,65.89,-18.63,decimal,,
Álfsstaðir á Skeiðum,ASS,Already permitted,1,Þjms. 13478 (IceEq1),< 1000,settlement,Settlement (870–1100 CE),Árnessýsla,,64.049998,-20.498233,ISN93→WGS84,,
"Stafn, Bólstaðarhlíðarhreppi",STB,Already permitted,1,Þjms. 11494 (IceEq11),< 1000,settlement,Settlement (870–1100 CE),A-Húnavatnssýsla,Norðurland,65.379475,-19.584431,ISN93→WGS84,,
"Enni, Viðvíkursveit",ENV,Already permitted,1,Þjms. 11720 (IceEq6),< 1000,settlement,Settlement (870–1100 CE),Skagafjarðarsýsla,Norðurland,65.742513,-19.348155,ISN93→WGS84,,
"Traðarholt, Stokkseyrarhreppi",THS,Already permitted,3,"Þjms. 1841 (IceEq15); Þjms. 1844 (IceEq16), Þjms. 1853",< 1000,settlement,Settlement (870–1100 CE),Árnessýsla,Suðurland,63.837994,-21.015610,corrected DMS,,
Eyrarteigur (Þórisá),,Already permitted,1,Þjms. 1995-358 (IceEq7),< 1000,settlement,Settlement (870–1100 CE),,,65.104167,-14.608333,corrected DMS,,
Leynir cave,,In new request,1,15.10.2015. Bein 8,< 1000,settlement,Settlement (870–1100 CE),,,64.9,-23.916667,DMS→WGS84,,
Sturluflötur í Suðurdal,SFS,Already permitted,1,Þjms. 5591 (IceEq13),< 1000,settlement,Settlement (870–1100 CE),N-Múlasýsla,,65.28,-14.39,decimal,,
Ytra-Garðshorn,YGS,Already permitted,6,Þjms 1958-10 kuml (IceEq19); Þjms. 15487a (IceEq17); Þjms. 1958-7 kuml (IceEq18),< 1000,settlement,Settlement (870–1100 CE),Eyjafjarðarsýsla,Norðurland,65.9,-18.59,decimal,,
Berufjörður,,Already permitted,1,Þjms. 4489 (IceEq2),< 1000,settlement,Settlement (870–1100 CE),,,64.7567,-14.4302,corrected decimal,,
Böggvisstaðir,,Already permitted,1,Þjms. 12118a (IceEq5),< 1000,settlement,Settlement (870–1100 CE),,,65.96,-18.55,decimal (lon sign fixed),,
Kjalvegur/Biskupstungnahreppur,,In new request,6+,Þjms 9006; Þjms. 9007; Þjms. 9008; Þjms. 9009; Þjms. 9010/1996-268,1780,post-settlement,Laki era (~1780 CE),,,64.606,-20.306,decimal,,Reynistaðarbræður urðu úti ásamt föruneyti (16 horses)
"Miklibær í Blönduhlíð, Akrahreppur",,In new request,1,Unknown,< 1000,settlement,Settlement (870–1100 CE),,,65.509444,-19.295556,DMS→WGS84,,
Reykjahlíð,,In new request,1,1974-208,undated,undated,Undated,,,65.643611,-16.908611,DMS→WGS84,,
"Snartastaðir, Lundareykjadalshreppur",,In new request,1,Unknown,< 1000,settlement,Settlement (870–1100 CE),,,65.72725,-16.040611,DMS→WGS84,,
Steinfinnsstaðir,,In new request,1,Þjms. 9093-1,< 1000,settlement,Settlement (870–1100 CE),,,65.77,-18.17,decimal,,
Papey,,In new request,1,Þjms. 10198,< 1000,settlement,Settlement (870–1100 CE),,,64.5915,-14.160556,DMS→WGS84,,
Snæhvammur/Breiðdalur,,In new request,1,Þjms. 3932,< 1000,settlement,Settlement (870–1100 CE),,,64.794778,-13.955028,DMS→WGS84,,
Stóra-Borg,,In new request,3+,K-4-N-12,1200-1900,post-settlement,Post-medieval (1100–1900 CE),,,63.5095,-19.629139,DMS→WGS84,,
Stóru-Vellir,,In new request,1,Þjms. 7695,undated,undated,Undated,,,63.985417,-20.12475,DMS→WGS84,,
Tjarnargata (3C),,In new request,10+,K-4-F-7,1600-1800,post-settlement,Post-medieval (1100–1900 CE),,,64.144444,-21.944444,DMS→WGS84,,
Niðurföll/Þykkvabæjarklaustur,,In new request,2+,1990-79-9,<1800-1900,post-settlement,Post-medieval (1100–1900 CE),,,63.505444,-18.371472,DMS→WGS84,,
Stóra-Sandfell/Skriðdalur,,In new request,1,Þjms. 1982-57,< 1000,settlement,Settlement (870–1100 CE),,,65.12325,-14.546667,DMS→WGS84,,
Þórðarholt,,In new request,1,Þjms. 12562,< 1000,settlement,Settlement (870–1100 CE),,,64.116667,-19.75,DMS→WGS84,,
Þóreyjarnúpur,,In new request,1,Þjms. 10435a,< 1000,settlement,Settlement (870–1100 CE),,,65.37925,-20.727806,DMS→WGS84,,
Granagil hjá Búlandi í Skaftártunguhreppi,GGS,In new request,2,Þjms. 11526; Þjms. 6419b,< 1000,settlement,Settlement (870–1100 CE),V-Skaftafellssýsla,,63.783245,-18.583696,corrected decimal-minutes,,
Kápa  á Almenningum,KVE,In new request,1,Nokkrar hrossatennur (2434),< 1000,settlement,Settlement (870–1100 CE),Rangárvallarsýsla,,63.5264,-19.4733,decimal,,
"Hrífunes, Skaftártunga",HRS,In new request,1,1958-133,< 1000,settlement,Settlement (870–1100 CE),V-Skaftafellssýsla,,63.6957,-18.3771,decimal,,
"Stóri-Moshvoll, Hvolhreppur",SMH,In new request,1,1912 hrossabein,< 1000,settlement,Settlement (870–1100 CE),Rangárvallarsýsla,,63.74,-20.204,decimal,,
Mörk í Landssveit,MKL,In new request,1,Þjms. 11920,< 1000,settlement,Settlement (870–1100 CE),Rangárvallarsýsla,Suðurland,64.03,-20.02,decimal,,
"Hólaskógur, Gnjúpverjahreppur",ÞHS,In new request,1,Unknown,< 1000,settlement,Settlement (870–1100 CE),Rangárvallarsýsla,,64.1275,-19.75,decimal,,
Alþingisreitur,,In new request,4+,K-5-M-6,1600–1800,post-settlement,Post-medieval (1100–1900 CE),,,64.15,-21.94,decimal,,
Skriðuklaustur í Fljótsdal,SKR,In new request,30+,SKR (many boxes),1450–1800,post-settlement,Post-medieval (1100–1900 CE),,,65.04,-14.95,decimal,,
Hrollaugsstaðir,HLS,In new request,1,Þjms. 15227b,< 1000,settlement,Settlement (870–1100 CE),N-Múlasýsla,,65.1188,-15.0146,decimal,,
Fjörður í Seyðisfirði,FJO,In new request,1,15229,< 1000,settlement,Settlement (870–1100 CE),Seyðisfjarðarsýsla,Austurland,65.29,-13.76,decimal,,Horse mentioned in human sample notes but no corresponding horse entry found in Horses.docx from Joe
"Reykjasel, Jökuldalshreppi",RSJ,In new request,1,Þjms. 4867,< 1000,settlement,Settlement (870–1100 CE),N-Múlasýsla,,65.3092,-15.1638,decimal,,
Straumur í Tunguhreppi,STT,In new request,1,Þjoms. (in a box with artifacts),< 1000,settlement,Settlement (870–1100 CE),N-Múlasýsla,Austurland,65.44,-14.39,decimal,,Horse mentioned in human sample notes but no corresponding horse entry found in Horses.docx from Joe
"Ytri-Neslönd, Mývatnssveit",YNM,In new request,1,1960-46,< 1000,settlement,Settlement (870–1100 CE),S-Þingeyjarsýsla,,65.62,-17.0,decimal,,
Staðartunga í Hörgárdal,STH,In new request,2,Þjms. 11716; Þjms. 11435,< 1000,settlement,Settlement (870–1100 CE),Eyjafjarðarsýsla,Norðurland,65.67,-18.46,decimal,,
Glaumbær,GBR,In new request,3,Þjms. 6918; Þjms. 6921; Þjms. 6933,< 1000,settlement,Settlement (870–1100 CE),S-Þingeyjarsýsla,,65.750389,-17.416333,corrected DMS,,
Hrafnsstaðir (í Kinn),HRK,In new request,1,15234,< 1000,settlement,Settlement (870–1100 CE),S-Þingeyjarsýsla,Norðurland,65.81,-17.57,decimal,,Horse mentioned in human sample notes but no corresponding horse entry found in Horses.docx from Joe
Litlu-Núpar,NUA,In new request,1,6948a/b,< 1000,settlement,Settlement (870–1100 CE),S-Þingeyjasýsla,Norðurland,65.95,-17.4,decimal,,Horse mentioned in human sample notes but no corresponding horse entry found in Horses.docx from Joe
Brimnes (Dalvík),DAV,In new request,8,"Þjms. 5846 / Dys II (IceEq3); Þjms. 5856 / Dys XIII (IceEq4), Þjms. 6040; Þjms. 5849",< 1000,settlement,Settlement (870–1100 CE),Eyjafjarðarsýsla,Norðurland,65.976188,-18.530555,ISN93→WGS84,,
"Kolsholt í Flóa, Villingarholtshreppur",KHF,In new request,1,Þjms. 1958:117,< 1000,settlement,Settlement (870–1100 CE),Árnessýsla,,63.872868,-20.819098,ISN93→WGS84,,
Lækur í Hraungerðishreppi,LKH,In new request,1,1969-154,< 1000,settlement,Settlement (870–1100 CE),Árnessýsla,Suðurland,63.918951,-20.877272,ISN93→WGS84,,
Brandsstaðir í Blöndudal,BRB,In new request,1,1967-81/1996-269,< 1000,settlement,Settlement (870–1100 CE),A-Húnavatnssýsla,,65.392449,-19.784325,ISN93→WGS84,,
Öxnadalsheiði,OXH,In new request,1,1962-209,< 1000,settlement,Settlement (870–1100 CE),Skagafjarðarsýsla,,65.45168,-18.973369,ISN93→WGS84,,
Elivogar/Langholt,EVS,In new request,1,Þjms. 15690,< 1000,settlement,Settlement (870–1100 CE),Skagafjarðarsýsla,Norðurland,65.568522,-19.563526,ISN93→WGS84,,
"Sólheimar, Sæmundarhlíð",SHS,In new request,1,Þjms. 15688,< 1000,settlement,Settlement (870–1100 CE),Skagafjarðarsýsla,,65.597905,-19.585128,ISN93→WGS84,,
Vatnsdalur í Patreksfirði,VDP,In new request,2,1964:136; 1968-510,< 1000,settlement,Settlement (870–1100 CE),Barðastrandasýsla,,65.572386,-24.061639,ISN93→WGS84,,
"Sílastaðir, Glæsibæjarhreppi",SSG,In new request,2,Þjms. 13702; Þjms. 13735,< 1000,settlement,Settlement (870–1100 CE),Eyjafjarðarsýsla,Norðurland,65.721703,-18.189824,ISN93→WGS84,,
"Brimnes, Viðvikurhreppur",BRV,In new request,1,Þjms.6040,< 1000,settlement,Settlement (870–1100 CE),Skagafjarðarsýsla,,65.777175,-19.34862,ISN93→WGS84,,
Grafargerði á Höfðaströnd,GGH,In new request,1,11685-b,< 1000,settlement,Settlement (870–1100 CE),Skagafjarðarsýsla,Norðurland,65.881074,-19.392373,ISN93→WGS84,,Horse mentioned in human sample notes but no corresponding horse entry found in Horses.docx from Joe
Stærri-Árskógur,SAE,In new request,1,Þjms. 7708-1 og 2,< 1000,settlement,Settlement (870–1100 CE),Eyjafjarðarsýsla,Norðurland,65.911438,-18.357794,ISN93→WGS84,,
"Austarihóll, Haganeshreppur",,In new request,1,óskráð hrossabein (box found),< 1000,settlement,Settlement (870–1100 CE),,,65.74,-19.31,decimal,,
Eyvindarveri,,In new request,1,1996-269,1772,post-settlement,Laki era (~1780 CE),,,64.137,-18.718,decimal,,
Galtalækur/Land,,In new request,1,Þjms. 10493,< 1000,settlement,Settlement (870–1100 CE),,,64.0,-19.95,decimal,,
"Grafarbakki, Rangárvallarhreppur",,In new request,2,hrossabein úr tveimur kumlum,< 1000,settlement,Settlement (870–1100 CE),,,64.13425,-20.309083,DMS→WGS84,,
Granastaðir,,In new request,4,2011-49-126 (#8); 2011-49-212 (#4); 2011-49-219 (#2); 2011-49-252 (#9),< 1000,settlement,Settlement (870–1100 CE),,,65.300889,-18.247528,DMS→WGS84,,
Hafurbjarnarstaðir,,In new request,1,Þjms. 571,< 1000,settlement,Settlement (870–1100 CE),,,64.069833,-22.700028,DMS→WGS84,,
Hvalnes,,In new request,1,Þjms. 11726,undated,undated,Undated,,,64.410056,-14.552306,DMS→WGS84,,
Hörgsdalur/Mývatnsheiði,,In new request,1,Þjms. 4992,undated,undated,Undated,,,65.545028,-17.292861,DMS→WGS84,,
Kirkjubæ á Síðu,,In new request,1,Þjms. 13114,< 1000,settlement,Settlement (870–1100 CE),,,63.789,-18.0531,DMS→WGS84,,
Litli-Dunhagi/Hörgárdal,,In new request,1,Þjms. 1963-153,< 1000,settlement,Settlement (870–1100 CE),,,65.755806,-18.276556,DMS→WGS84,,
